doc_id,doc_id_unique,ent_text,target
My_pdf69new_method,My_pdf69new_method_34_219,"All animal studies were performed in male New Zealand White rabbits weighing 2.4-3.0 kg and approximately 10-13 weeks of age (obtained from Charles River Canada, Senneville, QC, Canada)",10-13 weeks
My_pdf764_method,My_pdf764_method_46_295,"Adult male SD rats (180-200 g) provided by the Experimental Animal Center (Hebei Medical University, Shijiazhuang, China) were housed in plastic cages under a 12-hour light/dark cycle at a temperature of 25°C with food and water available ad libitum",adult
My_pdf484new_method,My_pdf484new_method_1068_1157,"For all experiments described, larvae from 0 to 10 days postfertilization (dpf) were used",0-10 days
My_pdf238new_method,My_pdf238new_method_28_219,Experiments were carried out in a double-blind design study under institutional ethical committee guidelines in 10 chronically implanted male adult Wistar rats weighing between 300 and 350 g.,adult
My_pdf737_method,My_pdf737_method_47_178,"The experiments were performed on adult (10-12 weeks, n = 65) and 5-day-old (n = 4) female Sprague-Dawley rats (Taconic Europe A/S)","10-12 weeks, 5 days"
My_pdf592_method,My_pdf592_method_2585_2727,One month old male 3xTg-AD mice (n = 9) were treated with 10 mM L-Carnosine (Sigma-Aldrich) in standard tap water for a period of 11-13 months,1 month
My_pdf556new_method,My_pdf556new_method_317_499,"Eighteen Wuzhishan piglets (Suibei Nursery of Laboratory Animals, Guangzhou) of either sex, between 4 and 6 weeks old and weighing 9.8±3.1kg, were randomly assigned into three groups",4-6 weeks
My_pdf762_method,My_pdf762_method_885_988,Adult male Sprague-Dawley rats weighing 180-220g were obtained from the Laboratory Animal Centre of CSU,adult
My_pdf709_method,My_pdf709_method_20_213,"Adult (8-to 12-week-old) male wild-type (WT) SD rats, transgenic green fluorescent protein (GFP)-expressing SD rats, and WT Lewis rats were housed in light-and temperature-controlled conditions",8-12 weeks
My_pdf463new_method,My_pdf463new_method_28_65,Six adult male WAG/Rij rats were used,adult
My_pdf738_method,My_pdf738_method_1021_1088,Gene deletion was induced in male and female 12-to 20-week-old mice,12-20 weeks
My_pdf827_method,My_pdf827_method_34_162,Thirty-six adult male Wistar rats 220-250 g were obtained from the Tabriz University of Medical Sciences laboratory animal house,adult
My_pdf880_method,My_pdf880_method_618_930,"When they were 8.5 months old a simple randomization procedure was used in assigning mice to each of the two diet groups, whereby animals were randomized so that littermates were distributed equally between the control-fed and ketone ester-fed diet groups (ketone ester, KE; or control, CON) of 15 mice per group",8.5 months
My_pdf626_method,My_pdf626_method_34_148,"Adult male Wistar rats (BK Universal, Sollentuna, Sweden), with an average weight of 300 g upon arrival, were used",adult
My_pdf209new_method,My_pdf209new_method_387_458,All the mice used in this study were 8-10-week old and weighed 20-25 g.,8-10 weeks
My_pdf68new_method,My_pdf68new_method_1784_1967,"In total, 200 healthy adult male Wistar rats, SPF grade, weight 220-250 g, were purchased from the Experimental Animal Center of Qingdao Drug Inspection Institute (SCXK (LU) 20100010)",adult
My_pdf642_method,My_pdf642_method_773_877,APP23 mice 8-10 months old (mean age 9.3 months) were randomly assigned to one of three diets/treatments,8-10 months
My_pdf642_method,My_pdf642_method_2172_2335,"For microdialysis experiments, 4-to 5-month-old APP23 mice were treated with the same HF diet supplemented with the same dose of T0 (as the main group) for 3 weeks",4-5 months
