disease_mondo_term_norm,disease_mondo_termid,Disease Class
"1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine induced Parkinsonism",-1,Diseases of the nervous system
WAGR syndrome,MONDO:0008681,Neurologic Manifestations
Machado-Joseph disease,MONDO:0007182,Neurodegenerative Diseases
"47,XX,+21",-1,Neurologic Manifestations
"47,XYY syndrome",MONDO:0019339,Neurologic Manifestations
POLR-related leukodystrophy,MONDO:0100605,Diseases of the nervous system
Cri-du-chat syndrome,MONDO:0007404,Neurologic Manifestations
Tay-Sachs disease AB variant,MONDO:0010099,Central Nervous System Diseases
ABO incompatibility reaction,-1,Diseases of the nervous system
ACA Infarct,-1,Central Nervous System Diseases
ACA Infarction,-1,Central Nervous System Diseases
ACA Infarctions,-1,Central Nervous System Diseases
ACA Infarcts,-1,Central Nervous System Diseases
ACTH-dependent Cushing syndrome,MONDO:0020528,Central Nervous System Diseases
Cushing disease due to pituitary adenoma,MONDO:0009050,Central Nervous System Diseases
ACTH-producing pituitary gland adenoma,MONDO:0006068,Central Nervous System Diseases
inappropriate ADH syndrome,MONDO:0006802,Central Nervous System Diseases
central nervous system AIDS arteritis,MONDO:0005695,Central Nervous System Diseases
AIDS dementia complex,MONDO:0020689,Central Nervous System Diseases
X-linked cerebral adrenoleukodystrophy,MONDO:0010247,Central Nervous System Diseases
amyotrophic lateral sclerosis,MONDO:0004976,Central Nervous System Diseases
autonomic nervous system disorder,MONDO:0001292,Autonomic Nervous System Diseases
hyperargininemia,MONDO:0008814,Central Nervous System Diseases
argininosuccinic aciduria,MONDO:0008815,Central Nervous System Diseases
citrullinemia type I,MONDO:0008988,Central Nervous System Diseases
arteriovenous malformations of the brain,MONDO:0007154,Central Nervous System Diseases
migraine disorder,MONDO:0005277,Diseases of the nervous system
abducens nerve palsy,MONDO:0007033,Cranial Nerve Diseases
Abducens Nerve Injury,-1,Cranial Nerve Diseases
Abducens Nerve Trauma,-1,Cranial Nerve Diseases
Abducens Nerve Traumas,-1,Cranial Nerve Diseases
"Abducens Neuropathies, Traumatic",-1,Cranial Nerve Diseases
"Abducens Neuropathy, Traumatic",-1,Cranial Nerve Diseases
Abducens nerve palsy associated with other neurologic signs,-1,Diseases of the nervous system
