drug_name,tested_both_sexes,species_unique,strain_unique,assay_unique,country_unique,articles_total,articles_blinding,articles_randomization,articles_welfare,target
abdominal aortic aneurysm <> angiotensin converting enzyme (ace) inhibitors,0,0,0,2,1,1,0,0,1,0
abdominal aortic aneurysm <> cyclosporine,0,2,3,2,1,1,1,0,1,0
abdominal aortic aneurysm <> doxycycline,0,2,4,2,2,11,2,2,8,0
abdominal aortic aneurysm <> perindopril,0,2,1,2,1,1,0,1,1,0
"abdominal obesity-metabolic syndrome <> 3 inhibitor, phosphodiesterase",0,1,1,1,1,1,0,1,1,0
abdominal obesity-metabolic syndrome <> acetylcysteine,0,1,1,1,1,1,0,0,0,0
"abdominal obesity-metabolic syndrome <> acids, conjugated linoleic",0,2,3,2,4,4,1,1,3,0
abdominal obesity-metabolic syndrome <> astaxanthin,0,1,2,2,1,1,1,0,1,0
abdominal obesity-metabolic syndrome <> chloroquine,0,1,4,3,1,1,0,0,1,0
abdominal obesity-metabolic syndrome <> chromium picolinate,0,1,0,1,2,2,1,1,0,0
abdominal obesity-metabolic syndrome <> citrulline,0,2,2,1,1,1,0,1,1,0
abdominal obesity-metabolic syndrome <> epigallocatechin gallate,0,2,2,2,2,2,0,0,2,0
abdominal obesity-metabolic syndrome <> estradiol,1,2,5,2,5,9,0,6,8,0
abdominal obesity-metabolic syndrome <> estrogens,1,2,7,5,6,11,0,5,11,0
abdominal obesity-metabolic syndrome <> hesperidin,0,1,1,2,1,1,0,1,1,0
abdominal obesity-metabolic syndrome <> leptin,0,2,3,2,2,3,0,0,3,0
abdominal obesity-metabolic syndrome <> leucine,0,1,1,2,2,3,0,1,3,0
abdominal obesity-metabolic syndrome <> lycopene,0,1,1,1,1,1,0,1,1,0
abdominal obesity-metabolic syndrome <> methionine,0,1,1,3,1,1,0,1,1,0
abdominal obesity-metabolic syndrome <> niacinamide,0,1,2,2,2,2,1,0,1,0
abdominal obesity-metabolic syndrome <> nitrite,0,2,3,2,2,4,1,1,4,0
abdominal obesity-metabolic syndrome <> polyunsaturated fatty acids,1,0,1,2,1,1,0,1,1,0
abdominal obesity-metabolic syndrome <> quercetin,0,3,2,4,5,5,1,2,5,0
abdominal obesity-metabolic syndrome <> selenium,0,1,1,2,2,2,0,0,2,0
abdominal obesity-metabolic syndrome <> thioctic acid,0,2,5,3,6,7,0,3,5,0
abdominal obesity-metabolic syndrome <> tocotrienols,0,1,1,3,1,2,1,1,2,0
abdominal obesity-metabolic syndrome <> ubidecarenone,0,1,2,2,2,2,0,0,2,0
abdominal pain <> naloxone,1,1,1,1,1,1,0,1,1,0
acidosis disorder <> citrate,0,1,1,0,1,1,0,1,1,0
"acne <> acid, aminolevulinic",0,0,0,1,1,1,0,0,0,0
acquired adult-onset immunodeficiency <> vitamin e,1,1,1,2,1,1,0,1,0,0
acquired aneurysmal subarachnoid hemorrhage <> alteplase,1,2,0,1,2,2,1,0,1,0
acquired aneurysmal subarachnoid hemorrhage <> dexmedetomidine,1,3,0,5,2,2,1,1,2,0
acquired aneurysmal subarachnoid hemorrhage <> minocycline,0,2,2,2,1,1,1,0,1,0
"acquired aneurysmal subarachnoid hemorrhage <> oxide, nitric",0,2,2,2,1,2,1,1,1,0
acquired aplastic anemia <> aplidin,0,1,0,2,1,1,1,1,1,0
acquired aplastic anemia <> decitabine,0,1,1,1,1,1,0,0,1,0
acquired aplastic anemia <> everolimus,0,0,0,1,1,1,0,0,1,0
acquired aplastic anemia <> imetelstat,0,0,0,1,1,1,0,0,0,0
acquired aplastic anemia <> jak inhibitors,0,1,2,2,1,1,0,0,1,0
acquired aplastic anemia <> jak2 inhibitor,1,1,1,2,3,3,1,0,2,0
acquired aplastic anemia <> jak2 inhibitors,0,0,0,1,1,1,0,0,1,0
acquired aplastic anemia <> pacritinib,1,1,2,1,1,1,0,0,1,0
acquired aplastic anemia <> plitidepsin,0,1,0,2,1,1,1,1,1,0
acquired aplastic anemia <> sb 1518,1,1,2,1,1,1,0,0,1,0
acquired peripheral neuropathy <> benzalkonium,1,1,1,3,1,1,1,0,1,0
acquired peripheral neuropathy <> incobotulinumtoxina,0,1,1,4,3,3,1,1,3,0
acquired peripheral neuropathy <> ketorolac,0,1,1,3,1,1,0,0,1,0
acquired peripheral neuropathy <> l-baclofen,0,1,1,1,1,1,0,0,0,0
acquired polycythemia vera <> dasatinib,0,1,3,1,1,1,0,0,0,0
acquired polycythemia vera <> erlotinib,0,0,0,1,1,1,0,0,0,0
acquired polycythemia vera <> hsp90 inhibitor,0,0,0,1,1,1,0,0,0,0
acquired polycythemia vera <> imatinib,0,1,3,1,1,2,0,0,0,0
acquired polycythemia vera <> jak2 inhibitor,0,1,3,1,1,1,0,0,0,0
acquired polycythemia vera <> tg101348,0,1,3,3,1,2,0,0,2,0
acromegaly <> pituitary growth hormone,0,1,1,2,1,1,0,0,1,0
acth-producing pituitary gland neoplasm <> rosiglitazone,0,2,0,2,1,1,0,1,1,0
"actinic keratosis <> pentanoic acid, 5-amino-4-oxo-, hexyl ester, hydrochloride",1,1,0,0,1,1,0,0,1,0
active peptic ulcer disease <> tc-325,1,1,0,0,1,1,0,1,1,0
acute allograft rejection <> cyclosporine,1,1,6,3,3,5,2,0,5,0
acute antibody-mediated rejection <> c1 esterase inhibitor,0,2,0,2,1,1,1,0,1,0
"acute closed-angle glaucoma <> acetate, glatiramer",0,1,1,1,1,1,1,0,1,0
acute closed-angle glaucoma <> glatiramer,0,1,1,1,1,1,1,0,1,0
acute disease <> adrenal cortex hormone,0,0,0,1,1,1,0,0,0,0
acute disease <> atorvastatin,0,1,1,1,1,1,0,0,1,0
acute disease <> capsaicin,1,1,1,1,1,1,0,0,1,0
acute disease <> diclofenac,0,2,2,2,2,2,0,0,2,0
"acute disease <> fatty acids, omega-3",1,1,0,2,1,1,1,0,0,0
acute disease <> hydroxymethylglutaryl coa reductase inhibitors,0,1,0,2,1,1,0,1,1,0
acute disease <> naproxen,0,1,1,2,1,1,0,0,1,0
acute disease <> nsaid,0,0,0,3,1,1,1,0,1,0
