drug_name,tested_both_sexes,species_unique,strain_unique,assay_unique,country_unique,articles_total,articles_blinding,articles_randomization,articles_welfare,target
acquired aneurysmal subarachnoid hemorrhage <> alteplase,1,2,0,1,2,2,1,0,1,0
acquired aneurysmal subarachnoid hemorrhage <> dexmedetomidine,1,3,0,5,2,2,1,1,2,0
acquired aneurysmal subarachnoid hemorrhage <> minocycline,0,2,2,2,1,1,1,0,1,0
"acquired aneurysmal subarachnoid hemorrhage <> oxide, nitric",0,2,2,2,1,2,1,1,1,0
acquired polycythemia vera <> dasatinib,0,1,3,1,1,1,0,0,0,0
acquired polycythemia vera <> erlotinib,0,0,0,1,1,1,0,0,0,0
acquired polycythemia vera <> hsp90 inhibitor,0,0,0,1,1,1,0,0,0,0
acquired polycythemia vera <> imatinib,0,1,3,1,1,2,0,0,0,0
acquired polycythemia vera <> jak2 inhibitor,0,1,3,1,1,1,0,0,0,0
acquired polycythemia vera <> tg101348,0,1,3,3,1,2,0,0,2,0
acromegaly <> pituitary growth hormone,0,1,1,2,1,1,0,0,1,0
acute spinal cord injury <> minocycline,0,1,1,1,1,1,0,1,1,0
acute spinal cord injury <> riluzole,0,1,1,2,1,1,0,0,1,0
acute stress disorder <> lithium,0,1,1,2,1,1,0,0,0,0
adrenal gland hyperfunction <> esmolol,1,1,1,1,1,1,0,0,1,0
adrenal gland hyperfunction <> spironolactone,0,1,2,2,2,2,1,0,1,0
aggression <> arbaclofen,1,1,2,3,1,2,0,0,2,0
aids dementia complex <> efavirenz,0,2,0,2,2,2,0,0,1,0
aids dementia complex <> memantine,0,1,1,1,2,2,0,0,0,0
aids dementia complex <> minocycline,0,1,0,2,1,1,1,0,1,0
alcohol abuse <> 5-ht3 receptor antagonist,0,1,1,1,1,1,1,1,1,0
alcohol abuse <> apomorphine,0,2,3,4,2,3,1,0,1,0
alcohol abuse <> aprepitant,0,3,1,2,1,1,0,0,0,0
alcohol abuse <> buprenorphine,0,1,0,2,1,1,0,0,1,0
alcohol abuse <> caffeine,0,2,3,2,2,2,0,0,1,0
alcohol abuse <> cannabinoid,1,2,4,4,4,6,0,3,5,0
alcohol abuse <> corticotropin-releasing hormone,0,1,0,2,2,2,0,0,1,0
alcohol abuse <> desipramine,1,2,6,4,2,4,1,4,4,0
alcohol abuse <> doxazosin,1,2,2,3,2,3,0,1,3,0
alcohol abuse <> duloxetine,0,1,1,2,1,1,0,0,1,0
alcohol abuse <> gamma-aminobutyrate,0,1,2,1,1,1,0,0,1,0
alcohol abuse <> gamma-aminobutyric acid,0,1,2,1,1,1,0,0,1,0
alcohol abuse <> ghrelin,0,2,10,3,2,9,1,2,9,0
alcohol abuse <> glutathione,0,1,1,1,1,1,0,0,1,0
alcohol abuse <> guanfacine,0,1,3,1,2,3,0,1,2,0
alcohol abuse <> ibudilast,1,1,0,1,1,1,0,0,0,0
alcohol abuse <> inverse agonist,0,1,1,1,1,1,0,0,0,0
alcohol abuse <> ivermectin,1,2,2,3,1,4,0,0,4,0
alcohol abuse <> metyrapone,0,1,1,2,1,1,0,1,0,0
alcohol abuse <> mifepristone,1,2,4,4,1,5,1,1,3,0
alcohol abuse <> n methylaspartate,0,1,1,2,1,1,1,0,1,0
alcohol abuse <> opiate antagonist,0,1,1,1,1,1,0,0,1,0
alcohol abuse <> opioid,0,1,1,1,1,2,0,0,2,0
alcohol abuse <> pioglitazone,1,2,2,3,2,6,1,0,6,0
alcohol abuse <> propranolol,0,1,2,2,4,7,1,1,7,0
alcohol abuse <> psilocybin,1,2,1,2,1,2,0,1,2,0
alcohol abuse <> ssris,0,1,1,1,1,1,1,0,1,0
alcohol abuse <> tolcapone,1,1,1,1,2,2,0,1,1,0
alcohol abuse <> varenicline tartrate,0,1,1,2,1,1,0,1,1,0
alcohol abuse <> yohimbine,0,1,1,1,1,2,0,1,2,0
alcohol abuse <> zinc,0,2,2,2,1,2,0,0,2,0
alcohol-related disorders <> ethanol,1,2,4,4,4,7,4,3,6,0
"allodynia <> 2 inhibitor, cyclooxygenase",1,1,2,1,2,2,0,1,2,0
allodynia <> capsaicin,0,1,1,1,1,1,0,0,1,0
alzheimer disease <> (18f)t807 compound,0,1,0,4,1,1,0,1,1,0
alzheimer disease <> (methyl-(11)c)n-acetyl-n-(2-methoxybenzyl)-2-phenoxy-5-pyridinamine,1,1,1,4,1,1,0,0,1,0
alzheimer disease <> 18f-av-45,1,2,2,3,1,1,0,0,1,0
"alzheimer disease <> 3 inhibitor, phosphodiesterase",1,3,20,5,12,37,12,17,30,0
alzheimer disease <> 7-beta-hydroxyepiandrosterone,0,1,1,1,1,1,0,0,0,0
alzheimer disease <> abt 089,0,1,0,1,1,1,0,0,1,0
alzheimer disease <> acetylcholine,0,3,2,2,2,3,0,0,1,0
alzheimer disease <> acetylcholine esterase inhibitor,0,1,0,2,1,1,0,0,1,0
alzheimer disease <> acetylcholinesterase,1,2,5,3,4,7,1,2,4,0
alzheimer disease <> acitretin,0,1,0,0,1,1,0,0,0,0
alzheimer disease <> acyclovir,0,1,1,1,1,1,1,0,0,0
alzheimer disease <> adenosine triphosphate,1,2,2,2,2,3,0,0,1,0
alzheimer disease <> angiotensin converting enzyme inhibitor,0,1,1,3,2,3,0,2,3,0
alzheimer disease <> angiotensin receptor blocker,0,1,1,3,2,2,0,0,1,0
alzheimer disease <> anticonvulsants,1,1,1,2,1,1,1,0,0,0
alzheimer disease <> antipsychotics,0,0,0,0,1,1,1,1,0,0
alzheimer disease <> arginine,1,2,2,2,3,4,0,1,4,0
alzheimer disease <> aspirin,0,1,3,2,4,5,0,1,0,0
alzheimer disease <> azd 2184,0,2,1,2,1,1,0,0,1,0
alzheimer disease <> azd-103,1,1,1,1,1,1,0,0,1,0
alzheimer disease <> azd3293,1,4,3,3,1,1,0,0,1,0
alzheimer disease <> baclofen,0,3,3,2,3,3,0,0,0,0
alzheimer disease <> ban2401,1,1,1,2,1,1,1,0,1,0
alzheimer disease <> beta-nerve growth factor,1,2,1,2,1,1,0,0,0,0
