drug_name,tested_both_sexes,species_unique,strain_unique,assay_unique,country_unique,articles_total,articles_blinding,articles_randomization,articles_welfare,target
acquired aneurysmal subarachnoid hemorrhage <> alteplase,1,2,0,1,2,2,1,0,1,0
acquired aneurysmal subarachnoid hemorrhage <> dexmedetomidine,1,3,0,5,2,2,1,1,2,0
acquired aneurysmal subarachnoid hemorrhage <> minocycline,0,2,2,2,1,1,1,0,1,0
"acquired aneurysmal subarachnoid hemorrhage <> oxide, nitric",0,2,2,2,1,2,1,1,1,0
acquired peripheral neuropathy <> benzalkonium,1,1,1,3,1,1,1,0,1,0
acquired peripheral neuropathy <> incobotulinumtoxina,0,1,1,4,3,3,1,1,3,0
acquired peripheral neuropathy <> ketorolac,0,1,1,3,1,1,0,0,1,0
acquired peripheral neuropathy <> l-baclofen,0,1,1,1,1,1,0,0,0,0
acute seizures <> topiramate,0,1,1,3,1,1,1,0,0,0
acute spinal cord injury <> minocycline,0,1,1,1,1,1,0,1,1,0
acute spinal cord injury <> riluzole,0,1,1,2,1,1,0,0,1,0
alzheimer disease <> (18f)t807 compound,0,1,0,4,1,1,0,1,1,0
alzheimer disease <> (methyl-(11)c)n-acetyl-n-(2-methoxybenzyl)-2-phenoxy-5-pyridinamine,1,1,1,4,1,1,0,0,1,0
alzheimer disease <> 18f-av-45,1,2,2,3,1,1,0,0,1,0
"alzheimer disease <> 3 inhibitor, phosphodiesterase",1,3,20,5,12,37,12,17,30,0
alzheimer disease <> 7-beta-hydroxyepiandrosterone,0,1,1,1,1,1,0,0,0,0
alzheimer disease <> abt 089,0,1,0,1,1,1,0,0,1,0
alzheimer disease <> acetylcholine,0,3,2,2,2,3,0,0,1,0
alzheimer disease <> acetylcholine esterase inhibitor,0,1,0,2,1,1,0,0,1,0
alzheimer disease <> acetylcholinesterase,1,2,5,3,4,7,1,2,4,0
alzheimer disease <> acitretin,0,1,0,0,1,1,0,0,0,0
alzheimer disease <> acyclovir,0,1,1,1,1,1,1,0,0,0
alzheimer disease <> adenosine triphosphate,1,2,2,2,2,3,0,0,1,0
alzheimer disease <> angiotensin converting enzyme inhibitor,0,1,1,3,2,3,0,2,3,0
alzheimer disease <> angiotensin receptor blocker,0,1,1,3,2,2,0,0,1,0
alzheimer disease <> anticonvulsants,1,1,1,2,1,1,1,0,0,0
alzheimer disease <> antipsychotics,0,0,0,0,1,1,1,1,0,0
alzheimer disease <> arginine,1,2,2,2,3,4,0,1,4,0
alzheimer disease <> aspirin,0,1,3,2,4,5,0,1,0,0
alzheimer disease <> azd 2184,0,2,1,2,1,1,0,0,1,0
alzheimer disease <> azd-103,1,1,1,1,1,1,0,0,1,0
alzheimer disease <> azd3293,1,4,3,3,1,1,0,0,1,0
alzheimer disease <> baclofen,0,3,3,2,3,3,0,0,0,0
alzheimer disease <> ban2401,1,1,1,2,1,1,1,0,1,0
alzheimer disease <> beta-nerve growth factor,1,2,1,2,1,1,0,0,0,0
alzheimer disease <> bexarotene,1,1,6,5,4,7,2,0,6,0
"alzheimer disease <> blue, methylene",1,2,8,5,7,14,6,2,12,0
alzheimer disease <> bms 708163,0,3,0,1,1,1,0,0,0,0
alzheimer disease <> bryostatin,1,2,2,3,2,3,1,2,2,0
alzheimer disease <> bryostatin 1,1,2,2,3,2,3,1,2,2,0
alzheimer disease <> butyrylcholinesterase,1,2,0,3,3,4,0,0,2,0
alzheimer disease <> caffeine,1,3,14,5,14,35,7,12,28,0
alzheimer disease <> chf 5074,1,1,1,4,1,3,1,0,1,0
"alzheimer disease <> colony-stimulating factor, granulocyte-macrophage",1,2,8,4,2,9,4,5,6,0
alzheimer disease <> copper,1,2,2,3,2,5,0,1,2,0
alzheimer disease <> curcumin,0,0,0,1,1,1,0,0,0,0
alzheimer disease <> diltiazem,1,1,0,1,1,1,0,0,1,0
alzheimer disease <> dronabinol,0,2,5,4,3,8,2,2,4,0
alzheimer disease <> endogenous antioxidants,1,3,7,5,11,27,3,4,15,0
alzheimer disease <> equol,1,1,2,1,1,1,0,1,1,0
alzheimer disease <> etanercept,1,2,2,4,5,5,2,0,5,0
alzheimer disease <> etazolate,0,1,2,1,1,1,0,0,0,0
alzheimer disease <> evp-0015962,1,1,4,3,1,1,0,0,0,0
alzheimer disease <> evp-6124,0,1,1,3,1,1,0,0,0,0
alzheimer disease <> exenatide,1,2,2,2,1,4,1,0,1,0
alzheimer disease <> gamma-secretase inhibitor,1,1,3,4,1,4,0,0,3,0
alzheimer disease <> granulocyte colony stimulating factor,0,1,4,4,2,2,1,0,1,0
alzheimer disease <> gsk3 inhibitor,0,0,1,3,1,1,0,0,0,0
alzheimer disease <> gts-21,1,3,3,2,2,5,1,0,1,0
alzheimer disease <> h3 receptor antagonist,1,2,6,4,2,3,1,2,2,0
alzheimer disease <> huperzinine,0,1,1,1,1,1,0,1,1,0
alzheimer disease <> isoflavones,0,0,0,2,1,2,0,0,0,0
alzheimer disease <> isoflurane,1,2,4,4,2,7,2,3,5,0
alzheimer disease <> isotretinoin,1,2,1,1,2,2,0,0,1,0
alzheimer disease <> ladostigil,1,1,2,4,2,5,1,3,4,0
alzheimer disease <> lamotrigine,1,1,1,2,1,1,1,0,0,0
alzheimer disease <> magnesium l-threonate,1,1,1,4,0,1,1,1,1,0
alzheimer disease <> mecamylamine,1,5,13,5,10,29,1,4,14,0
alzheimer disease <> methylergonovine,0,1,1,0,1,1,0,1,1,0
alzheimer disease <> midazolam,0,1,2,3,3,3,0,0,1,0
alzheimer disease <> mifepristone,1,3,2,3,4,4,0,1,1,0
alzheimer disease <> minocycline,1,2,10,4,9,15,2,3,11,0
alzheimer disease <> n methylaspartate,0,2,4,3,6,9,1,1,5,0
alzheimer disease <> nefiracetam,1,2,2,2,2,2,0,1,1,0
alzheimer disease <> nerve growth factor,1,3,6,5,9,27,2,5,9,0
alzheimer disease <> niacin,1,1,1,2,1,1,1,1,1,0
alzheimer disease <> niacinamide,1,3,10,5,5,15,0,3,13,0
alzheimer disease <> nicotinic acid,1,3,7,4,7,9,0,2,5,0
